id,kelurahan,positif
1,ANCOL,3
2,ANGKE,1
3,BALE KAMBANG,2
4,BALI MESTER,6
5,BAMBU APUS,4
6,BANGKA,8
7,BARU,3
8,BATU AMPAR,14
9,BENDUNGAN HILIR,7
10,BIDARA CINA,9
11,BINTARO,22
12,BUKIT DURI,10
13,BUNGUR,7
14,CAKUNG BARAT,4
15,CAKUNG TIMUR,4
16,CAWANG,11
17,CEGER,1
18,CEMPAKA BARU,6
19,CEMPAKA PUTIH BARAT,20
20,CEMPAKA PUTIH TIMUR,14
21,CENGKARENG BARAT,5
22,CENGKARENG TIMUR,11
23,CIBUBUR,9
24,CIDENG,5
25,CIGANJUR,4
26,CIJANTUNG,3
27,CIKINI,4
28,CIKOKO,4
29,CILANDAK BARAT,16
30,CILANDAK TIMUR,8
31,CILANGKAP,3
32,CILILITAN,5
33,CILINCING,3
34,CIPAYUNG,0
35,CIPEDAK,2
36,CIPETE SELATAN,4
37,CIPETE UTARA,6
38,CIPINANG,3
39,CIPINANG BESAR SELATAN,3
40,CIPINANG BESAR UTARA,3
41,CIPINANG CEMPEDAK,4
42,CIPINANG MELAYU,10
43,CIPINANG MUARA,14
44,CIPULIR,4
45,CIRACAS,10
46,DUKUH,1
47,DUREN SAWIT,20
48,DUREN TIGA,4
49,DURI KEPA,10
50,DURI KOSAMBI,10
51,DURI PULO,1
52,DURI SELATAN,0
53,DURI UTARA,0
54,GALUR,1
55,GAMBIR,1
56,GANDARIA SELATAN,1
57,GANDARIA UTARA,4
58,GEDONG,4
59,GELORA,2
60,GLODOK,1
61,GONDANGDIA,7
62,GROGOL,2
63,GROGOL SELATAN,6
64,GROGOL UTARA,5
65,GUNTUR,3
66,GUNUNG,5
67,GUNUNG SAHARI SELATAN,4
68,GUNUNG SAHARI UTARA,7
69,HALIM PERDANA KUSUMA,10
70,HARAPAN MULIA,7
71,JAGAKARSA,11
72,JATI,13
73,JATI PADANG,7
74,JATI PULO,5
75,JATINEGARA,4
76,JATINEGARA KAUM,1
77,JELAMBAR,11
78,JELAMBAR BARU,5
79,JEMBATAN BESI,2
80,JEMBATAN LIMA,1
81,JOGLO,3
82,JOHAR BARU,9
83,KALI ANYAR,1
84,KALI BARU,3
85,KALIBATA,3
86,KALIDERES,23
87,KALISARI,11
88,KAMAL,1
89,KAMAL MUARA,9
90,KAMPUNG BALI,3
91,KAMPUNG MELAYU,3
92,KAMPUNG RAWA,7
93,KAMPUNG TENGAH,4
94,KAPUK,12
95,KAPUK MUARA,5
96,KARANG ANYAR,2
97,KARET,3
98,KARET KUNINGAN,9
99,KARET SEMANGGI,2
100,KARET TENGSIN,1
101,KARTINI,3
102,KAYU MANIS,16
103,KAYU PUTIH,20
104,KEAGUNGAN,0
105,KEBAGUSAN,5
106,KEBAYORAN LAMA SELATAN,5
107,KEBAYORAN LAMA UTARA,7
108,KEBON BARU,4
109,KEBON BAWANG,5
110,KEBON JERUK,21
111,KEBON KACANG,9
112,KEBON KELAPA,4
113,KEBON KOSONG,49
114,KEBON MANGGIS,3
115,KEBON MELATI,5
116,KEBON PALA,1
117,KEBON SIRIH,0
118,KEDAUNG KALI ANGKE,2
119,KEDOYA SELATAN,8
120,KEDOYA UTARA,8
121,KELAPA DUA,7
122,KELAPA DUA WETAN,3
123,KELAPA GADING BARAT,29
124,KELAPA GADING TIMUR,18
125,KEMANGGISAN,4
126,KEMAYORAN,1
127,KEMBANGAN SELATAN,5
128,KEMBANGAN UTARA,10
129,KENARI,2
130,KERENDANG,5
131,KLENDER,18
132,KOJA,0
133,KOTA BAMBU SELATAN,1
134,KOTA BAMBU UTARA,5
135,KRAMAT,1
136,KRAMAT JATI,6
137,KRAMAT PELA,1
138,KRUKUT,0
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,3
141,KWITANG,2
142,LAGOA,4
143,LEBAK BULUS,14
144,LENTENG AGUNG,6
145,LUBANG BUAYA,3
146,MAKASAR,1
147,MALAKA JAYA,1
148,MALAKA SARI,3
149,MAMPANG PRAPATAN,0
150,MANGGA BESAR,0
151,MANGGA DUA SELATAN,0
152,MANGGARAI,0
153,MANGGARAI SELATAN,4
154,MAPHAR,17
155,MARUNDA,1
156,MELAWAI,1
157,MENTENG,10
158,MENTENG ATAS,6
159,MENTENG DALAM,14
160,MERUYA SELATAN,1
161,MERUYA UTARA,5
162,MUNJUL,4
163,PADEMANGAN BARAT,19
164,PADEMANGAN TIMUR,10
165,PAL MERIAM,3
166,PALMERAH,8
167,PANCORAN,4
168,PAPANGGO,1
169,PASAR BARU,4
170,PASAR MANGGIS,3
171,PASAR MINGGU,5
172,PASEBAN,6
173,PEGADUNGAN,28
174,PEGANGSAAN,5
175,PEGANGSAAN DUA,12
176,PEJAGALAN,8
177,PEJATEN BARAT,6
178,PEJATEN TIMUR,8
179,PEKAYON,2
180,PEKOJAN,2
181,PELA MAMPANG,4
182,PENGADEGAN,3
183,PENGGILINGAN,18
184,PENJARINGAN,4
185,PESANGGRAHAN,7
186,PETAMBURAN,47
187,PETOGOGAN,2
188,PETOJO SELATAN,2
189,PETOJO UTARA,3
190,PETUKANGAN SELATAN,3
191,PETUKANGAN UTARA,6
192,PINANG RANTI,5
193,PINANGSIA,1
194,PISANGAN BARU,8
195,PISANGAN TIMUR,6
196,PLUIT,14
197,PONDOK BAMBU,6
198,PONDOK KELAPA,28
199,PONDOK KOPI,6
200,PONDOK LABU,17
201,PONDOK PINANG,25
202,PONDOK RANGGON,2
203,PULAU HARAPAN,0
204,PULAU KELAPA,0
205,PULAU PANGGANG,0
206,PULAU PARI,0
207,PULAU TIDUNG,0
208,PULAU UNTUNG JAWA,0
209,PULO,2
