id,kelurahan,positif
210,PULO GADUNG,5
211,PULO GEBANG,8
212,RAGUNAN,2
213,RAMBUTAN,1
214,RAWA BADAK SELATAN,7
215,RAWA BADAK UTARA,2
216,RAWA BARAT,6
217,RAWA BUAYA,1
218,RAWA BUNGA,4
219,RAWA JATI,3
220,RAWA TERATE,1
221,RAWAMANGUN,10
222,RAWASARI,4
223,ROA MALAKA,0
224,ROROTAN,4
225,SELONG,1
226,SEMANAN,2
227,SEMPER BARAT,3
228,SEMPER TIMUR,1
229,SENAYAN,16
230,SENEN,1
231,SERDANG,2
232,SETIA BUDI,0
233,SETU,2
234,SLIPI,4
235,SRENGSENG,12
236,SRENGSENG SAWAH,4
237,SUKABUMI SELATAN,3
238,SUKABUMI UTARA,4
239,SUKAPURA,3
240,SUMUR BATU,3
241,SUNGAI BAMBU,7
242,SUNTER AGUNG,21
243,SUNTER JAYA,7
244,SUSUKAN,0
245,TAMAN SARI,4
246,TAMBORA,0
247,TANAH SEREAL,2
248,TANAH TINGGI,4
249,TANGKI,0
250,TANJUNG BARAT,9
251,TANJUNG DUREN SELATAN,6
252,TANJUNG DUREN UTARA,3
253,TANJUNG PRIOK,1
254,TEBET BARAT,14
255,TEBET TIMUR,13
256,TEGAL ALUR,7
257,TEGAL PARANG,7
258,TOMANG,18
259,TUGU SELATAN,4
260,TUGU UTARA,8
261,UJUNG MENTENG,5
262,ULUJAMI,6
263,UTAN KAYU SELATAN,16
264,UTAN KAYU UTARA,1
265,UTAN PANJANG,1
266,WARAKAS,2
267,WIJAYA KUSUMA,7
