id,kelurahan,positif
189,PENJARINGAN,2
190,PESANGGRAHAN,1
191,PETAMBURAN,4
192,PETOGOGAN,3
193,PETOJO SELATAN,9
194,PETOJO UTARA,2
195,PETUKANGAN SELATAN,6
196,PETUKANGAN UTARA,1
197,PINANG RANTI,1
198,PINANGSIA,1
199,PISANGAN BARU,2
200,PISANGAN TIMUR,3
201,PLUIT,5
202,PONDOK BAMBU,5
203,PONDOK KELAPA,11
204,PONDOK KOPI,7
205,PONDOK LABU,6
206,PONDOK PINANG,14
207,PONDOK RANGGON,6
163,PULAU HARAPAN,25
164,PULAU KELAPA,4
165,PULAU PANGGANG,6
166,PULAU PARI,23
167,PULAU TIDUNG,1
208,PULO,1
209,PULO GADUNG,3
210,PULO GEBANG,3
211,RAGUNAN,1
212,RAMBUTAN,1
213,RAWA BADAK SELATAN,6
214,RAWA BADAK UTARA,1
215,RAWA BARAT,6
216,RAWA BUAYA,1
217,RAWA BUNGA,1
218,RAWA JATI,1
219,RAWA TERATE,0
220,RAWAMANGUN,3
221,RAWASARI,3
222,ROA MALAKA,0
223,ROROTAN,2
224,SELONG,1
225,SEMANAN,2
226,SEMPER BARAT,0
227,SEMPER TIMUR,1
228,SENAYAN,16
229,SENEN,0
230,SERDANG,1
231,SETIA BUDI,0
232,SETU,2
233,SLIPI,4
234,SRENGSENG,12
235,SRENGSENG SAWAH,1
236,SUKABUMI SELATAN,3
237,SUKABUMI UTARA,2
238,SUKAPURA,2
239,SUMUR BATU,3
240,SUNGAI BAMBU,6
241,SUNTER AGUNG,12
242,SUNTER JAYA,6
243,SUSUKAN,0
244,TAMAN SARI,1
245,TAMBORA,0
246,TANAH SEREAL,2
247,TANAH TINGGI,1
248,TANGKI,0
249,TANJUNG BARAT,8
250,TANJUNG DUREN SELATAN,5
251,TANJUNG DUREN UTARA,3
252,TANJUNG PRIOK,0
253,TEBET BARAT,12
254,TEBET TIMUR,11
255,TEGAL ALUR,6
256,TEGAL PARANG,5
257,TOMANG,13
258,TUGU SELATAN,3
259,TUGU UTARA,7
260,UJUNG MENTENG,4
261,ULUJAMI,4
262,UNTUNG JAWA,0
263,UTAN KAYU SELATAN,11
264,UTAN KAYU UTARA,0
265,UTAN PANJANG,1
266,WARAKAS,0
267,WIJAYA KUSUMA,4
