id,kelurahan,positif
1,ANCOL,1
2,ANGKE,0
3,BALE KAMBANG,2
4,BALI MESTER,5
5,BAMBU APUS,2
6,BANGKA,8
7,BARU,2
8,BATU AMPAR,11
9,BENDUNGAN HILIR,6
10,BIDARA CINA,8
11,BINTARO,20
12,BUKIT DURI,9
13,BUNGUR,4
14,CAKUNG BARAT,1
15,CAKUNG TIMUR,2
16,CAWANG,9
17,CEGER,0
18,CEMPAKA BARU,4
19,CEMPAKA PUTIH BARAT,13
20,CEMPAKA PUTIH TIMUR,7
21,CENGKARENG BARAT,2
22,CENGKARENG TIMUR,7
23,CIBUBUR,4
24,CIDENG,2
25,CIGANJUR,4
26,CIJANTUNG,3
27,CIKINI,3
28,CIKOKO,0
29,CILANDAK BARAT,14
30,CILANDAK TIMUR,6
31,CILANGKAP,2
32,CILILITAN,3
33,CILINCING,1
34,CIPAYUNG,1
35,CIPEDAK,2
36,CIPETE SELATAN,3
37,CIPETE UTARA,5
38,CIPINANG,3
39,CIPINANG BESAR SELATAN,2
40,CIPINANG BESAR UTARA,4
41,CIPINANG CEMPEDAK,2
42,CIPINANG MELAYU,8
43,CIPINANG MUARA,7
44,CIPULIR,4
45,CIRACAS,7
46,DUKUH,1
47,DUREN SAWIT,17
48,DUREN TIGA,2
49,DURI KEPA,9
50,DURI KOSAMBI,7
51,DURI PULO,0
52,DURI SELATAN,0
53,DURI UTARA,0
54,GALUR,1
55,GAMBIR,1
56,GANDARIA SELATAN,1
57,GANDARIA UTARA,4
58,GEDONG,2
59,GELORA,2
60,GLODOK,1
61,GONDANGDIA,7
62,GROGOL,2
63,GROGOL SELATAN,6
64,GROGOL UTARA,3
65,GUNTUR,1
66,GUNUNG,2
67,GUNUNG SAHARI SELATAN,3
68,GUNUNG SAHARI UTARA,7
69,HALIM PERDANA KUSUMA,8
70,HARAPAN MULIA,4
71,JAGAKARSA,7
72,JATI,8
73,JATI PADANG,3
74,JATI PULO,4
75,JATINEGARA,0
76,JATINEGARA KAUM,1
77,JELAMBAR,8
78,JELAMBAR BARU,3
79,JEMBATAN BESI,2
80,JEMBATAN LIMA,1
81,JOGLO,3
82,JOHAR BARU,7
83,KALI ANYAR,0
84,KALI BARU,3
85,KALIBATA,1
86,KALIDERES,17
87,KALISARI,8
88,KAMAL,1
89,KAMAL MUARA,9
90,KAMPUNG BALI,1
91,KAMPUNG MELAYU,1
92,KAMPUNG RAWA,3
93,KAMPUNG TENGAH,2
94,KAPUK,6
95,KAPUK MUARA,2
96,KARANG ANYAR,1
97,KARET,3
98,KARET KUNINGAN,8
99,KARET SEMANGGI,2
100,KARET TENGSIN,1
101,KARTINI,1
102,KAYU MANIS,7
103,KAYU PUTIH,10
104,KEAGUNGAN,0
105,KEBAGUSAN,4
106,KEBAYORAN LAMA SELATAN,4
107,KEBAYORAN LAMA UTARA,5
108,KEBON BARU,2
109,KEBON BAWANG,4
110,KEBON JERUK,19
111,KEBON KACANG,6
112,KEBON KELAPA,4
113,KEBON KOSONG,9
114,KEBON MANGGIS,1
115,KEBON MELATI,2
116,KEBON PALA,2
117,KEBON SIRIH,0
118,KEDAUNG KALI ANGKE,1
119,KEDOYA SELATAN,7
120,KEDOYA UTARA,6
121,KELAPA DUA,7
122,KELAPA DUA WETAN,1
123,KELAPA GADING BARAT,18
124,KELAPA GADING TIMUR,17
125,KEMANGGISAN,3
126,KEMAYORAN,0
127,KEMBANGAN SELATAN,5
128,KEMBANGAN UTARA,7
129,KENARI,2
130,KERENDANG,2
131,KLENDER,9
132,KOJA,0
133,KOTA BAMBU SELATAN,0
134,KOTA BAMBU UTARA,5
135,KRAMAT,1
136,KRAMAT JATI,2
137,KRAMAT PELA,1
138,KRUKUT,0
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,0
141,KWITANG,1
142,LAGOA,3
143,LEBAK BULUS,13
144,LENTENG AGUNG,6
145,LUBANG BUAYA,2
146,MAKASAR,1
147,MALAKA JAYA,1
148,MALAKA SARI,3
149,MAMPANG PRAPATAN,0
150,MANGGA BESAR,0
151,MANGGA DUA SELATAN,0
152,MANGGARAI,0
153,MANGGARAI SELATAN,1
154,MAPHAR,1
155,MARUNDA,0
156,MELAWAI,1
157,MENTENG,5
158,MENTENG ATAS,4
159,MENTENG DALAM,13
160,MERUYA SELATAN,1
161,MERUYA UTARA,4
162,MUNJUL,1
168,PADEMANGAN BARAT,0
169,PADEMANGAN TIMUR,0
170,PAL MERIAM,0
171,PALMERAH,0
172,PANCORAN,0
173,PAPANGGO,7
174,PASAR BARU,2
175,PASAR MANGGIS,2
176,PASAR MINGGU,7
177,PASEBAN,4
178,PEGADUNGAN,22
179,PEGANGSAAN,3
180,PEGANGSAAN DUA,3
181,PEJAGALAN,3
182,PEJATEN BARAT,3
183,PEJATEN TIMUR,28
184,PEKAYON,4
185,PEKOJAN,6
186,PELA MAMPANG,7
187,PENGADEGAN,7
188,PENGGILINGAN,6
