id,kelurahan,positif
1,ANCOL,9
2,ANGKE,2
3,BALE KAMBANG,8
4,BALI MESTER,7
5,BAMBU APUS,8
6,BANGKA,13
7,BARU,3
8,BATU AMPAR,21
9,BENDUNGAN HILIR,10
10,BIDARA CINA,22
11,BINTARO,24
12,BUKIT DURI,14
13,BUNGUR,14
14,CAKUNG BARAT,9
15,CAKUNG TIMUR,9
16,CAWANG,17
17,CEGER,1
18,CEMPAKA BARU,17
19,CEMPAKA PUTIH BARAT,31
20,CEMPAKA PUTIH TIMUR,40
21,CENGKARENG BARAT,17
22,CENGKARENG TIMUR,25
23,CIBUBUR,11
24,CIDENG,12
25,CIGANJUR,9
26,CIJANTUNG,6
27,CIKINI,5
28,CIKOKO,7
29,CILANDAK BARAT,26
30,CILANDAK TIMUR,12
31,CILANGKAP,11
32,CILILITAN,13
33,CILINCING,10
34,CIPAYUNG,10
35,CIPEDAK,6
36,CIPETE SELATAN,6
37,CIPETE UTARA,8
38,CIPINANG,13
39,CIPINANG BESAR SELATAN,8
40,CIPINANG BESAR UTARA,10
41,CIPINANG CEMPEDAK,8
42,CIPINANG MELAYU,11
43,CIPINANG MUARA,21
44,CIPULIR,11
45,CIRACAS,18
46,DUKUH,8
47,DUREN SAWIT,32
48,DUREN TIGA,6
49,DURI KEPA,29
50,DURI KOSAMBI,14
51,DURI PULO,2
52,DURI SELATAN,0
53,DURI UTARA,3
54,GALUR,2
55,GAMBIR,2
56,GANDARIA SELATAN,3
57,GANDARIA UTARA,7
58,GEDONG,8
59,GELORA,5
60,GLODOK,2
61,GONDANGDIA,9
62,GROGOL,14
63,GROGOL SELATAN,17
64,GROGOL UTARA,22
65,GUNTUR,3
66,GUNUNG,9
67,GUNUNG SAHARI SELATAN,5
68,GUNUNG SAHARI UTARA,17
69,HALIM PERDANA KUSUMA,23
70,HARAPAN MULIA,13
71,JAGAKARSA,15
72,JATI,22
73,JATI PADANG,12
74,JATI PULO,14
75,JATINEGARA,16
76,JATINEGARA KAUM,1
77,JELAMBAR,20
78,JELAMBAR BARU,8
79,JEMBATAN BESI,8
80,JEMBATAN LIMA,4
81,JOGLO,11
82,JOHAR BARU,16
83,KALI ANYAR,5
84,KALI BARU,6
85,KALIBATA,10
86,KALIDERES,37
87,KALISARI,21
88,KAMAL,2
89,KAMAL MUARA,11
90,KAMPUNG BALI,9
91,KAMPUNG MELAYU,11
92,KAMPUNG RAWA,16
93,KAMPUNG TENGAH,15
94,KAPUK,19
95,KAPUK MUARA,10
96,KARANG ANYAR,12
97,KARET,5
98,KARET KUNINGAN,13
99,KARET SEMANGGI,3
100,KARET TENGSIN,8
101,KARTINI,13
102,KAYU MANIS,21
103,KAYU PUTIH,34
104,KEAGUNGAN,3
105,KEBAGUSAN,12
106,KEBAYORAN LAMA SELATAN,10
107,KEBAYORAN LAMA UTARA,16
108,KEBON BARU,9
109,KEBON BAWANG,17
110,KEBON JERUK,41
111,KEBON KACANG,61
112,KEBON KELAPA,8
113,KEBON KOSONG,20
114,KEBON MANGGIS,2
115,KEBON MELATI,45
116,KEBON PALA,3
117,KEBON SIRIH,8
118,KEDAUNG KALI ANGKE,7
119,KEDOYA SELATAN,12
120,KEDOYA UTARA,12
121,KELAPA DUA,15
122,KELAPA DUA WETAN,10
123,KELAPA GADING BARAT,50
124,KELAPA GADING TIMUR,33
125,KEMANGGISAN,17
126,KEMAYORAN,6
127,KEMBANGAN SELATAN,17
128,KEMBANGAN UTARA,17
129,KENARI,7
130,KERENDANG,8
131,KLENDER,31
132,KOJA,3
133,KOTA BAMBU SELATAN,9
134,KOTA BAMBU UTARA,11
135,KRAMAT,27
136,KRAMAT JATI,9
137,KRAMAT PELA,1
138,KRUKUT,6
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,9
141,KWITANG,3
142,LAGOA,20
143,LEBAK BULUS,20
144,LENTENG AGUNG,10
145,LUBANG BUAYA,8
146,MAKASAR,6
147,MALAKA JAYA,8
148,MALAKA SARI,9
149,MAMPANG PRAPATAN,5
150,MANGGA BESAR,3
151,MANGGA DUA SELATAN,8
152,MANGGARAI,3
153,MANGGARAI SELATAN,14
154,MAPHAR,47
155,MARUNDA,5
156,MELAWAI,4
157,MENTENG,20
158,MENTENG ATAS,11
159,MENTENG DALAM,22
160,MERUYA SELATAN,11
161,MERUYA UTARA,14
162,MUNJUL,5
163,PADEMANGAN BARAT,75
164,PADEMANGAN TIMUR,16
165,PAL MERIAM,21
166,PALMERAH,33
167,PANCORAN,13
168,PAPANGGO,6
169,PASAR BARU,19
170,PASAR MANGGIS,7
171,PASAR MINGGU,10
172,PASEBAN,16
173,PEGADUNGAN,43
174,PEGANGSAAN,19
175,PEGANGSAAN DUA,19
176,PEJAGALAN,16
177,PEJATEN BARAT,15
178,PEJATEN TIMUR,29
179,PEKAYON,5
180,PEKOJAN,6
181,PELA MAMPANG,15
182,PENGADEGAN,6
183,PENGGILINGAN,31
184,PENJARINGAN,13
185,PESANGGRAHAN,9
186,PETAMBURAN,112
187,PETOGOGAN,3
188,PETOJO SELATAN,4
189,PETOJO UTARA,16
190,PETUKANGAN SELATAN,6
191,PETUKANGAN UTARA,17
192,PINANG RANTI,10
193,PINANGSIA,1
194,PISANGAN BARU,14
195,PISANGAN TIMUR,8
196,PLUIT,26
197,PONDOK BAMBU,15
198,PONDOK KELAPA,47
199,PONDOK KOPI,16
200,PONDOK LABU,24
201,PONDOK PINANG,35
202,PONDOK RANGGON,5
203,PULAU HARAPAN,0
204,PULAU KELAPA,1
205,PULAU PANGGANG,0
206,PULAU PARI,0
207,PULAU TIDUNG,9
208,PULAU UNTUNG JAWA,0
209,PULO,3
210,PULO GADUNG,15
211,PULO GEBANG,20
212,RAGUNAN,5
213,RAMBUTAN,2
214,RAWA BADAK SELATAN,18
215,RAWA BADAK UTARA,3
216,RAWA BARAT,7
217,RAWA BUAYA,7
218,RAWA BUNGA,6
219,RAWA JATI,5
220,RAWA TERATE,2
221,RAWAMANGUN,18
222,RAWASARI,9
223,ROA MALAKA,0
224,ROROTAN,5
225,SELONG,3
226,SEMANAN,8
227,SEMPER BARAT,7
228,SEMPER TIMUR,7
229,SENAYAN,17
230,SENEN,2
231,SERDANG,10
232,SETIA BUDI,3
233,SETU,3
234,SLIPI,8
235,SRENGSENG,23
236,SRENGSENG SAWAH,17
237,SUKABUMI SELATAN,9
238,SUKABUMI UTARA,15
239,SUKAPURA,7
240,SUMUR BATU,8
241,SUNGAI BAMBU,12
242,SUNTER AGUNG,83
243,SUNTER JAYA,25
244,SUSUKAN,1
245,TAMAN SARI,7
246,TAMBORA,1
247,TANAH SEREAL,5
248,TANAH TINGGI,10
249,TANGKI,2
250,TANJUNG BARAT,17
251,TANJUNG DUREN SELATAN,20
252,TANJUNG DUREN UTARA,9
253,TANJUNG PRIOK,26
254,TEBET BARAT,27
255,TEBET TIMUR,15
256,TEGAL ALUR,13
257,TEGAL PARANG,13
258,TOMANG,35
259,TUGU SELATAN,9
260,TUGU UTARA,20
261,UJUNG MENTENG,6
262,ULUJAMI,16
263,UTAN KAYU SELATAN,32
264,UTAN KAYU UTARA,8
265,UTAN PANJANG,10
266,WARAKAS,14
267,WIJAYA KUSUMA,18
