id,kelurahan,positif,
1,ANCOL,5,
2,ANGKE,0,
3,BALE KAMBANG,5,
4,BALI MESTER,0,
5,BAMBU APUS,4,
6,BANGKA,4,
7,BARU,0,
8,BATU AMPAR,4,
9,BENDUNGAN HILIR,1,
10,BIDARA CINA,8,
11,BINTARO,6,
12,BUKIT DURI,2,
13,BUNGUR,4,
14,CAKUNG BARAT,4,
15,CAKUNG TIMUR,1,
16,CAWANG,5,
17,CEGER,0,
18,CEMPAKA BARU,5,
19,CEMPAKA PUTIH BARAT,5,
20,CEMPAKA PUTIH TIMUR,6,
21,CENGKARENG BARAT,10,
22,CENGKARENG TIMUR,11,
23,CIBUBUR,1,
24,CIDENG,2,
25,CIGANJUR,1,
26,CIJANTUNG,1,
27,CIKINI,0,
28,CIKOKO,2,
29,CILANDAK BARAT,4,
30,CILANDAK TIMUR,2,
31,CILANGKAP,4,
32,CILILITAN,2,
33,CILINCING,5,
34,CIPAYUNG,7,
35,CIPEDAK,2,
36,CIPETE SELATAN,2,
37,CIPETE UTARA,2,
38,CIPINANG,7,
39,CIPINANG BESAR SELATAN,2,
40,CIPINANG BESAR UTARA,5,
41,CIPINANG CEMPEDAK,2,
42,CIPINANG MELAYU,0,
43,CIPINANG MUARA,3,
44,CIPULIR,5,
45,CIRACAS,6,
46,DUKUH,2,
47,DUREN SAWIT,5,
48,DUREN TIGA,0,
49,DURI KEPA,4,
50,DURI KOSAMBI,2,
51,DURI PULO,1,
52,DURI SELATAN,0,
53,DURI UTARA,3,
54,GALUR,1,
55,GAMBIR,0,
56,GANDARIA SELATAN,0,
57,GANDARIA UTARA,2,
58,GEDONG,2,
59,GELORA,0,
60,GLODOK,0,
61,GONDANGDIA,2,
62,GROGOL,9,
63,GROGOL SELATAN,8,
64,GROGOL UTARA,11,
65,GUNTUR,0,
66,GUNUNG,4,
67,GUNUNG SAHARI SELATAN,1,
68,GUNUNG SAHARI UTARA,7,
69,HALIM PERDANA KUSUMA,9,
70,HARAPAN MULIA,4,
71,JAGAKARSA,1,
72,JATI,5,
73,JATI PADANG,3,
74,JATI PULO,6,
75,JATINEGARA,10,
76,JATINEGARA KAUM,0,
77,JELAMBAR,8,
78,JELAMBAR BARU,2,
79,JEMBATAN BESI,4,
80,JEMBATAN LIMA,1,
81,JOGLO,6,
82,JOHAR BARU,6,
83,KALI ANYAR,4,
84,KALI BARU,3,
85,KALIBATA,4,
86,KALIDERES,8,
87,KALISARI,7,
88,KAMAL,0,
89,KAMAL MUARA,1,
90,KAMPUNG BALI,1,
91,KAMPUNG MELAYU,3,
92,KAMPUNG RAWA,4,
93,KAMPUNG TENGAH,6,
94,KAPUK,3,
95,KAPUK MUARA,2,
96,KARANG ANYAR,9,
97,KARET,0,
98,KARET KUNINGAN,2,
99,KARET SEMANGGI,0,
100,KARET TENGSIN,5,
101,KARTINI,8,
102,KAYU MANIS,0,
103,KAYU PUTIH,6,
104,KEAGUNGAN,0,
105,KEBAGUSAN,6,
106,KEBAYORAN LAMA SELATAN,1,
107,KEBAYORAN LAMA UTARA,8,
108,KEBON BARU,1,
109,KEBON BAWANG,8,
110,KEBON JERUK,19,
111,KEBON KACANG,38,
112,KEBON KELAPA,0,
