id,kelurahan,positif,
113,KEBON KOSONG,5,
114,KEBON MANGGIS,0,
115,KEBON MELATI,27,
116,KEBON PALA,1,
117,KEBON SIRIH,5,
118,KEDAUNG KALI ANGKE,3,
119,KEDOYA SELATAN,3,
120,KEDOYA UTARA,0,
121,KELAPA DUA,5,
122,KELAPA DUA WETAN,6,
123,KELAPA GADING BARAT,15,
124,KELAPA GADING TIMUR,9,
125,KEMANGGISAN,6,
126,KEMAYORAN,2,
127,KEMBANGAN SELATAN,9,
128,KEMBANGAN UTARA,2,
129,KENARI,1,
130,KERENDANG,1,
131,KLENDER,8,
132,KOJA,3,
133,KOTA BAMBU SELATAN,8,
134,KOTA BAMBU UTARA,5,
135,KRAMAT,22,
136,KRAMAT JATI,2,
137,KRAMAT PELA,0,
138,KRUKUT,5,
139,KUNINGAN BARAT,0,
140,KUNINGAN TIMUR,4,
141,KWITANG,0,
142,LAGOA,14,
143,LEBAK BULUS,3,
144,LENTENG AGUNG,4,
145,LUBANG BUAYA,1,
146,MAKASAR,4,
147,MALAKA JAYA,4,
148,MALAKA SARI,2,
149,MAMPANG PRAPATAN,3,
150,MANGGA BESAR,3,
151,MANGGA DUA SELATAN,7,
152,MANGGARAI,1,
153,MANGGARAI SELATAN,8,
154,MAPHAR,11,
155,MARUNDA,3,
156,MELAWAI,1,
157,MENTENG,3,
158,MENTENG ATAS,2,
159,MENTENG DALAM,7,
160,MERUYA SELATAN,6,
161,MERUYA UTARA,7,
162,MUNJUL,1,
163,PADEMANGAN BARAT,37,
164,PADEMANGAN TIMUR,2,
165,PAL MERIAM,14,
166,PALMERAH,10,
167,PANCORAN,6,
168,PAPANGGO,4,
169,PASAR BARU,11,
170,PASAR MANGGIS,1,
171,PASAR MINGGU,3,
172,PASEBAN,2,
173,PEGADUNGAN,6,
174,PEGANGSAAN,10,
175,PEGANGSAAN DUA,3,
176,PEJAGALAN,6,
177,PEJATEN BARAT,7,
178,PEJATEN TIMUR,10,
179,PEKAYON,2,
180,PEKOJAN,3,
181,PELA MAMPANG,5,
182,PENGADEGAN,2,
183,PENGGILINGAN,9,
184,PENJARINGAN,7,
185,PESANGGRAHAN,1,
186,PETAMBURAN,26,
187,PETOGOGAN,1,
188,PETOJO SELATAN,1,
189,PETOJO UTARA,9,
190,PETUKANGAN SELATAN,2,
191,PETUKANGAN UTARA,6,
192,PINANG RANTI,4,
193,PINANGSIA,0,
194,PISANGAN BARU,3,
195,PISANGAN TIMUR,1,
196,PLUIT,8,
197,PONDOK BAMBU,4,
198,PONDOK KELAPA,6,
199,PONDOK KOPI,5,
200,PONDOK LABU,2,
201,PONDOK PINANG,7,
202,PONDOK RANGGON,2,
203,PULAU HARAPAN,1,
204,PULAU KELAPA,1,
205,PULAU PANGGANG,0,
206,PULAU PARI,0,
207,PULAU TIDUNG,7,
208,PULAU UNTUNG JAWA,0,
209,PULO,0,
210,PULO GADUNG,5,
211,PULO GEBANG,8,
212,RAGUNAN,1,
213,RAMBUTAN,1,
214,RAWA BADAK SELATAN,9,
215,RAWA BADAK UTARA,1,
216,RAWA BARAT,1,
217,RAWA BUAYA,4,
218,RAWA BUNGA,2,
219,RAWA JATI,0,
220,RAWA TERATE,1,
221,RAWAMANGUN,7,
222,RAWASARI,6,
223,ROA MALAKA,0,
224,ROROTAN,1,
225,SELONG,1,
226,SEMANAN,3,
227,SEMPER BARAT,2,
228,SEMPER TIMUR,1,
229,SENAYAN,1,
230,SENEN,0,
231,SERDANG,4,
232,SETIA BUDI,2,
233,SETU,0,
234,SLIPI,1,
235,SRENGSENG,10,
236,SRENGSENG SAWAH,8,
237,SUKABUMI SELATAN,2,
238,SUKABUMI UTARA,10,
239,SUKAPURA,1,
240,SUMUR BATU,1,
241,SUNGAI BAMBU,4,
242,SUNTER AGUNG,29,
243,SUNTER JAYA,9,
244,SUSUKAN,0,
245,TAMAN SARI,0,
246,TAMBORA,1,
247,TANAH SEREAL,4,
248,TANAH TINGGI,5,
249,TANGKI,1,
250,TANJUNG BARAT,4,
251,TANJUNG DUREN SELATAN,7,
252,TANJUNG DUREN UTARA,5,
253,TANJUNG PRIOK,20,
254,TEBET BARAT,6,
255,TEBET TIMUR,0,
256,TEGAL ALUR,1,
257,TEGAL PARANG,4,
258,TOMANG,11,
259,TUGU SELATAN,2,
260,TUGU UTARA,7,
261,UJUNG MENTENG,0,
262,ULUJAMI,6,
263,UTAN KAYU SELATAN,10,
264,UTAN KAYU UTARA,4,
265,UTAN PANJANG,3,
266,WARAKAS,8,
267,WIJAYA KUSUMA,5,
