id,kelurahan,positif
1,ANCOL,12
2,ANGKE,6
3,BALE KAMBANG,11
4,BALI MESTER,8
5,BAMBU APUS,11
6,BANGKA,16
7,BARU,3
8,BATU AMPAR,21
9,BENDUNGAN HILIR,12
10,BIDARA CINA,26
11,BINTARO,25
12,BUKIT DURI,16
13,BUNGUR,15
14,CAKUNG BARAT,10
15,CAKUNG TIMUR,12
16,CAWANG,20
17,CEGER,1
18,CEMPAKA BARU,24
19,CEMPAKA PUTIH BARAT,34
20,CEMPAKA PUTIH TIMUR,40
21,CENGKARENG BARAT,26
22,CENGKARENG TIMUR,31
23,CIBUBUR,12
24,CIDENG,16
25,CIGANJUR,9
26,CIJANTUNG,6
27,CIKINI,5
28,CIKOKO,7
29,CILANDAK BARAT,28
30,CILANDAK TIMUR,11
31,CILANGKAP,13
32,CILILITAN,14
33,CILINCING,11
34,CIPAYUNG,13
35,CIPEDAK,7
36,CIPETE SELATAN,6
37,CIPETE UTARA,10
38,CIPINANG,14
39,CIPINANG BESAR SELATAN,10
40,CIPINANG BESAR UTARA,22
41,CIPINANG CEMPEDAK,9
42,CIPINANG MELAYU,13
43,CIPINANG MUARA,24
44,CIPULIR,14
45,CIRACAS,20
46,DUKUH,10
47,DUREN SAWIT,35
48,DUREN TIGA,6
49,DURI KEPA,36
50,DURI KOSAMBI,14
51,DURI PULO,3
52,DURI SELATAN,0
53,DURI UTARA,6
54,GALUR,2
55,GAMBIR,1
56,GANDARIA SELATAN,4
57,GANDARIA UTARA,9
58,GEDONG,12
59,GELORA,5
60,GLODOK,2
61,GONDANGDIA,10
62,GROGOL,19
63,GROGOL SELATAN,19
64,GROGOL UTARA,25
65,GUNTUR,3
66,GUNUNG,9
67,GUNUNG SAHARI SELATAN,6
68,GUNUNG SAHARI UTARA,17
69,HALIM PERDANA KUSUMA,25
70,HARAPAN MULIA,14
71,JAGAKARSA,15
72,JATI,25
73,JATI PADANG,13
74,JATI PULO,16
75,JATINEGARA,20
76,JATINEGARA KAUM,1
77,JELAMBAR,25
78,JELAMBAR BARU,9
79,JEMBATAN BESI,21
80,JEMBATAN LIMA,5
81,JOGLO,12
82,JOHAR BARU,21
83,KALI ANYAR,7
84,KALI BARU,11
85,KALIBATA,15
86,KALIDERES,39
87,KALISARI,21
88,KAMAL,3
89,KAMAL MUARA,13
90,KAMPUNG BALI,10
91,KAMPUNG MELAYU,14
92,KAMPUNG RAWA,21
93,KAMPUNG TENGAH,17
94,KAPUK,24
95,KAPUK MUARA,11
96,KARANG ANYAR,16
97,KARET,10
98,KARET KUNINGAN,14
99,KARET SEMANGGI,3
100,KARET TENGSIN,10
101,KARTINI,14
102,KAYU MANIS,25
103,KAYU PUTIH,38
104,KEAGUNGAN,3
105,KEBAGUSAN,14
106,KEBAYORAN LAMA SELATAN,11
107,KEBAYORAN LAMA UTARA,18
108,KEBON BARU,13
109,KEBON BAWANG,23
110,KEBON JERUK,54
111,KEBON KACANG,87
112,KEBON KELAPA,8
113,KEBON KOSONG,27
114,KEBON MANGGIS,4
115,KEBON MELATI,52
116,KEBON PALA,4
117,KEBON SIRIH,8
118,KEDAUNG KALI ANGKE,12
119,KEDOYA SELATAN,15
120,KEDOYA UTARA,15
121,KELAPA DUA,18
122,KELAPA DUA WETAN,10
123,KELAPA GADING BARAT,53
124,KELAPA GADING TIMUR,37
125,KEMANGGISAN,19
126,KEMAYORAN,6
127,KEMBANGAN SELATAN,19
128,KEMBANGAN UTARA,24
129,KENARI,7
130,KERENDANG,14
131,KLENDER,37
132,KOJA,4
133,KOTA BAMBU SELATAN,15
134,KOTA BAMBU UTARA,23
135,KRAMAT,32
136,KRAMAT JATI,10
137,KRAMAT PELA,2
138,KRUKUT,7
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,7
141,KWITANG,3
142,LAGOA,28
143,LEBAK BULUS,26
144,LENTENG AGUNG,12
