id,kelurahan,positif
1,ANCOL,17
2,ANGKE,10
3,BALE KAMBANG,4
4,BALI MESTER,0
5,BAMBU APUS,0
6,BANGKA,2
7,BARU,1
8,BATU AMPAR,4
9,BENDUNGAN HILIR,2
10,BIDARA CINA,7
11,BINTARO,4
12,BUKIT DURI,3
13,BUNGUR,0
14,CAKUNG BARAT,1
15,CAKUNG TIMUR,0
16,CAWANG,2
17,CEGER,0
18,CEMPAKA BARU,10
19,CEMPAKA PUTIH BARAT,6
20,CEMPAKA PUTIH TIMUR,7
21,CENGKARENG BARAT,5
22,CENGKARENG TIMUR,15
23,CIBUBUR,4
24,CIDENG,3
25,CIGANJUR,0
26,CIJANTUNG,6
27,CIKINI,1
28,CIKOKO,1
29,CILANDAK BARAT,2
30,CILANDAK TIMUR,1
31,CILANGKAP,2
32,CILILITAN,1
33,CILINCING,15
34,CIPAYUNG,0
35,CIPEDAK,1
36,CIPETE SELATAN,0
37,CIPETE UTARA,0
38,CIPINANG,6
39,CIPINANG BESAR SELATAN,1
40,CIPINANG BESAR UTARA,13
41,CIPINANG CEMPEDAK,3
42,CIPINANG MELAYU,4
43,CIPINANG MUARA,2
44,CIPULIR,6
45,CIRACAS,5
46,DUKUH,4
47,DUREN SAWIT,9
48,DUREN TIGA,1
49,DURI KEPA,5
50,DURI KOSAMBI,3
51,DURI PULO,6
52,DURI SELATAN,0
53,DURI UTARA,6
54,GALUR,1
55,GAMBIR,3
56,GANDARIA SELATAN,0
57,GANDARIA UTARA,0
58,GEDONG,12
59,GELORA,0
60,GLODOK,0
61,GONDANGDIA,2
62,GROGOL,8
63,GROGOL SELATAN,3
64,GROGOL UTARA,3
65,GUNTUR,1
66,GUNUNG,0
67,GUNUNG SAHARI SELATAN,2
68,GUNUNG SAHARI UTARA,2
69,HALIM PERDANA KUSUMAH,0
70,HARAPAN MULIA,5
71,JAGAKARSA,6
72,JATI,2
73,JATI PADANG,0
74,JATI PULO,16
75,JATINEGARA,3
76,JATINEGARA KAUM,0
77,JELAMBAR,4
78,JELAMBAR BARU,3
79,JEMBATAN BESI,23
80,JEMBATAN LIMA,4
81,JOGLO,12
82,JOHAR BARU,3
83,KALI ANYAR,0
84,KALI BARU,6
85,KALIBATA,4
86,KALIDERES,4
87,KALISARI,0
88,KAMAL,1
89,KAMAL MUARA,0
90,KAMPUNG BALI,2
91,KAMPUNG MELAYU,2
92,KAMPUNG RAWA,9
93,KAMPUNG TENGAH,37
94,KAPUK,3
95,KAPUK MUARA,5
96,KARANG ANYAR,6
97,KARET,5
98,KARET KUNINGAN,0
99,KARET SEMANGGI,0
100,KARET TENGSIN,2
101,KARTINI,9
102,KAYU MANIS,4
103,KAYU PUTIH,4
104,KEAGUNGAN,1
105,KEBAGUSAN,5
106,KEBAYORAN LAMA SELATAN,2
107,KEBAYORAN LAMA UTARA,0
108,KEBON BARU,13
109,KEBON BAWANG,3
110,KEBON JERUK,4
111,KEBON KACANG,10
112,KEBON KELAPA,0
113,KEBON KOSONG,8
114,KEBON MANGGIS,2
115,KEBON MELATI,20
116,KEBON PALA,2
117,KEBON SIRIH,5
118,KEDAUNG KALI ANGKE,2
119,KEDOYA SELATAN,2
120,KEDOYA UTARA,2
121,KELAPA DUA,2
122,KELAPA DUA WETAN,0
123,KELAPA GADING BARAT,0
124,KELAPA GADING TIMUR,0
125,KEMANGGISAN,4
126,KEMAYORAN,10
127,KEMBANGAN SELATAN,5
128,KEMBANGAN UTARA,1
129,KENARI,17
130,KERENDANG,6
131,KLENDER,11
132,KOJA,4
133,KOTA BAMBU SELATAN,4
134,KOTA BAMBU UTARA,15
135,KRAMAT,34
136,KRAMAT JATI,3
137,KRAMAT PELA,1
138,KRUKUT,10
139,KUNINGAN BARAT,1
140,KUNINGAN TIMUR,0
141,KWITANG,3
142,LAGOA,26
143,LEBAK BULUS,3
144,LENTENG AGUNG,4
145,LUBANG BUAYA,2
146,MAKASAR,1
147,MALAKA JAYA,5
148,MALAKA SARI,11
149,MAMPANG PRAPATAN,3
150,MANGGA BESAR,0
151,MANGGA DUA SELATAN,4
152,MANGGARAI,1
153,MANGGARAI SELATAN,0
154,MAPHAR,5
155,MARUNDA,0
156,MELAWAI,0
157,MENTENG,1
158,MENTENG ATAS,1
159,MENTENG DALAM,3
160,MERUYA SELATAN,7
161,MERUYA UTARA,2
162,MUNJUL,2
163,PADEMANGAN BARAT,41
164,PADEMANGAN TIMUR,6
165,PAL MERIAM,11
166,PALMERAH,18
167,PANCORAN,0
168,PAPANGGO,1
169,PASAR BARU,0
170,PASAR MANGGIS,6
171,PASAR MINGGU,0
172,PASEBAN,18
173,PEGADUNGAN,3
174,PEGANGSAAN,3
175,PEGANGSAAN DUA,5
176,PEJAGALAN,6
177,PEJATEN BARAT,5
178,PEJATEN TIMUR,10
179,PEKAYON,1
180,PEKOJAN,9
181,PELA MAMPANG,0
182,PENGADEGAN,2
183,PENGGILINGAN,4
184,PENJARINGAN,50
185,PESANGGRAHAN,0
186,PETAMBURAN,13
187,PETOGOGAN,0
188,PETOJO SELATAN,1
189,PETOJO UTARA,1
190,PETUKANGAN SELATAN,0
191,PETUKANGAN UTARA,4
192,PINANG RANTI,3
193,PINANGSIA,0
194,PISANGAN BARU,5
195,PISANGAN TIMUR,1
196,PLUIT,10
197,PONDOK BAMBU,36
198,PONDOK KELAPA,8
199,PONDOK KOPI,2
200,PONDOK LABU,4
201,PONDOK PINANG,7
202,PONDOK RANGGON,2
203,PULAU HARAPAN,0
204,PULAU KELAPA,1
205,PULAU PANGGANG,0
206,PULAU PARI,0
207,PULAU TIDUNG,0
208,PULAU UNTUNG JAWA,0
209,PULO,1
210,PULO GADUNG,3
211,PULO GEBANG,4
212,RAGUNAN,2
213,RAMBUTAN,5
214,RAWA BADAK SELATAN,8
215,RAWA BADAK UTARA,5
216,RAWA BARAT,0
217,RAWA BUAYA,6
218,RAWA BUNGA,1
219,RAWA JATI,0
220,RAWA TERATE,0
221,RAWAMANGUN,6
222,RAWASARI,3
223,ROA MALAKA,0
224,ROROTAN,1
225,SELONG,1
226,SEMANAN,0
227,SEMPER BARAT,7
228,SEMPER TIMUR,3
229,SENAYAN,0
230,SENEN,3
231,SERDANG,2
232,SETIA BUDI,0
233,SETU,1
234,SLIPI,7
235,SRENGSENG,1
236,SRENGSENG SAWAH,4
237,SUKABUMI SELATAN,1
238,SUKABUMI UTARA,2
239,SUKAPURA,16
240,SUMUR BATU,3
241,SUNGAI BAMBU,0
242,SUNTER AGUNG,24
243,SUNTER JAYA,13
244,SUSUKAN,3
245,TAMAN SARI,0
246,TAMBORA,2
247,TANAH SEREAL,14
248,TANAH TINGGI,9
249,TANGKI,6
250,TANJUNG BARAT,2
251,TANJUNG DUREN SELATAN,5
252,TANJUNG DUREN UTARA,1
253,TANJUNG PRIOK,4
254,TEBET BARAT,2
255,TEBET TIMUR,1
256,TEGAL ALUR,2
257,TEGAL PARANG,4
258,TOMANG,10
259,TUGU SELATAN,2
260,TUGU UTARA,12
261,UJUNG MENTENG,1
262,ULUJAMI,1
263,UTAN KAYU SELATAN,5
264,UTAN KAYU UTARA,2
265,UTAN PANJANG,1
266,WARAKAS,3
267,WIJAYA KUSUMA,0
