id,kelurahan,positif
1,ANCOL,3
2,ANGKE,3
3,BALE KAMBANG,3
4,BALI MESTER,8
5,BAMBU APUS,4
6,BANGKA,9
7,BARU,3
8,BATU AMPAR,17
9,BENDUNGAN HILIR,9
10,BIDARA CINA,10
11,BINTARO,18
12,BUKIT DURI,12
13,BUNGUR,9
14,CAKUNG BARAT,5
15,CAKUNG TIMUR,7
16,CAWANG,12
17,CEGER,1
18,CEMPAKA BARU,10
19,CEMPAKA PUTIH BARAT,24
20,CEMPAKA PUTIH TIMUR,25
21,CENGKARENG BARAT,7
22,CENGKARENG TIMUR,12
23,CIBUBUR,10
24,CIDENG,9
25,CIGANJUR,8
26,CIJANTUNG,3
27,CIKINI,5
28,CIKOKO,5
29,CILANDAK BARAT,21
30,CILANDAK TIMUR,10
31,CILANGKAP,7
32,CILILITAN,11
33,CILINCING,4
34,CIPAYUNG,1
35,CIPEDAK,4
36,CIPETE SELATAN,4
37,CIPETE UTARA,6
38,CIPINANG,6
39,CIPINANG BESAR SELATAN,5
40,CIPINANG BESAR UTARA,5
41,CIPINANG CEMPEDAK,6
42,CIPINANG MELAYU,11
43,CIPINANG MUARA,17
44,CIPULIR,6
45,CIRACAS,12
46,DUKUH,2
47,DUREN SAWIT,27
48,DUREN TIGA,6
49,DURI KEPA,22
50,DURI KOSAMBI,12
51,DURI PULO,1
52,DURI SELATAN,0
53,DURI UTARA,0
54,GALUR,1
55,GAMBIR,2
56,GANDARIA SELATAN,3
57,GANDARIA UTARA,5
58,GEDONG,5
59,GELORA,5
60,GLODOK,2
61,GONDANGDIA,7
62,GROGOL,3
63,GROGOL SELATAN,9
64,GROGOL UTARA,10
65,GUNTUR,3
66,GUNUNG,5
67,GUNUNG SAHARI SELATAN,4
68,GUNUNG SAHARI UTARA,10
69,HALIM PERDANA KUSUMA,14
70,HARAPAN MULIA,9
71,JAGAKARSA,14
72,JATI,15
73,JATI PADANG,9
74,JATI PULO,8
75,JATINEGARA,6
76,JATINEGARA KAUM,1
77,JELAMBAR,12
78,JELAMBAR BARU,6
79,JEMBATAN BESI,4
80,JEMBATAN LIMA,3
81,JOGLO,5
82,JOHAR BARU,11
83,KALI ANYAR,1
84,KALI BARU,3
85,KALIBATA,6
86,KALIDERES,29
87,KALISARI,12
88,KAMAL,2
89,KAMAL MUARA,9
90,KAMPUNG BALI,7
91,KAMPUNG MELAYU,7
92,KAMPUNG RAWA,10
93,KAMPUNG TENGAH,7
94,KAPUK,15
95,KAPUK MUARA,6
96,KARANG ANYAR,3
97,KARET,5
98,KARET KUNINGAN,11
99,KARET SEMANGGI,3
100,KARET TENGSIN,3
101,KARTINI,4
102,KAYU MANIS,20
103,KAYU PUTIH,28
104,KEAGUNGAN,2
105,KEBAGUSAN,5
106,KEBAYORAN LAMA SELATAN,7
107,KEBAYORAN LAMA UTARA,8
108,KEBON BARU,8
109,KEBON BAWANG,9
110,KEBON JERUK,22
111,KEBON KACANG,17
112,KEBON KELAPA,7
113,KEBON KOSONG,15
114,KEBON MANGGIS,1
115,KEBON MELATI,12
116,KEBON PALA,2
117,KEBON SIRIH,3
118,KEDAUNG KALI ANGKE,4
119,KEDOYA SELATAN,9
120,KEDOYA UTARA,11
121,KELAPA DUA,10
122,KELAPA DUA WETAN,3
123,KELAPA GADING BARAT,35
124,KELAPA GADING TIMUR,24
125,KEMANGGISAN,8
126,KEMAYORAN,3
127,KEMBANGAN SELATAN,8
128,KEMBANGAN UTARA,15
129,KENARI,7
130,KERENDANG,6
131,KLENDER,22
132,KOJA,0
133,KOTA BAMBU SELATAN,1
134,KOTA BAMBU UTARA,5
135,KRAMAT,4
136,KRAMAT JATI,7
137,KRAMAT PELA,1
138,KRUKUT,2
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,5
141,KWITANG,3
142,LAGOA,6
143,LEBAK BULUS,16
144,LENTENG AGUNG,6
145,LUBANG BUAYA,6
146,MAKASAR,2
147,MALAKA JAYA,3
148,MALAKA SARI,6
149,MAMPANG PRAPATAN,2
150,MANGGA BESAR,0
151,MANGGA DUA SELATAN,1
152,MANGGARAI,1
153,MANGGARAI SELATAN,6
154,MAPHAR,36
155,MARUNDA,2
156,MELAWAI,2
157,MENTENG,15
158,MENTENG ATAS,8
159,MENTENG DALAM,15
160,MERUYA SELATAN,4
161,MERUYA UTARA,7
162,MUNJUL,4
163,PADEMANGAN BARAT,31
164,PADEMANGAN TIMUR,12
165,PAL MERIAM,6
166,PALMERAH,13
167,PANCORAN,5
168,PAPANGGO,2
169,PASAR BARU,8
170,PASAR MANGGIS,5
171,PASAR MINGGU,7
172,PASEBAN,14
173,PEGADUNGAN,36
174,PEGANGSAAN,6
