id,kelurahan,positif
237,SUKABUMI SELATAN,7
238,SUKABUMI UTARA,7
239,SUKAPURA,6
240,SUMUR BATU,5
241,SUNGAI BAMBU,8
242,SUNTER AGUNG,57
243,SUNTER JAYA,16
244,SUSUKAN,1
245,TAMAN SARI,7
246,TAMBORA,0
247,TANAH SEREAL,1
248,TANAH TINGGI,5
249,TANGKI,2
250,TANJUNG BARAT,13
251,TANJUNG DUREN SELATAN,13
252,TANJUNG DUREN UTARA,5
253,TANJUNG PRIOK,6
254,TEBET BARAT,24
255,TEBET TIMUR,15
256,TEGAL ALUR,12
257,TEGAL PARANG,9
258,TOMANG,24
259,TUGU SELATAN,7
260,TUGU UTARA,15
261,UJUNG MENTENG,6
262,ULUJAMI,12
263,UTAN KAYU SELATAN,23
264,UTAN KAYU UTARA,4
265,UTAN PANJANG,7
266,WARAKAS,7
267,WIJAYA KUSUMA,13
