id,kelurahan,positif
237,SUKABUMI UTARA,1
238,SUKAPURA,1
239,SUMUR BATU,0
240,SUNGAI BAMBU,2
241,SUNTER AGUNG,5
242,SUNTER JAYA,2
243,SUSUKAN,0
244,TAMAN SARI,0
245,TAMBORA,0
246,TANAH SEREAL,0
247,TANAH TINGGI,1
248,TANGKI,0
249,TANJUNG BARAT,6
250,TANJUNG DUREN SELATAN,2
251,TANJUNG DUREN UTARA,1
252,TANJUNG PRIOK,0
253,TEBET BARAT,4
254,TEBET TIMUR,1
255,TEGAL ALUR,3
256,TEGAL PARANG,0
257,TOMANG,11
258,TUGU SELATAN,1
259,TUGU UTARA,2
260,UJUNG MENTENG,3
261,ULUJAMI,2
262,UNTUNG JAWA,0
263,UTAN KAYU SELATAN,3
264,UTAN KAYU UTARA,0
265,UTAN PANJANG,1
266,WARAKAS,0
267,WIJAYA KUSUMA,0
