id,kelurahan,positif
1,ANCOL,1
2,ANGKE,0
3,BALE KAMBANG,1
4,BALI MESTER,2
5,BAMBU APUS,1
6,BANGKA,8
7,BARU,1
8,BATU AMPAR,6
9,BENDUNGAN HILIR,3
10,BIDARA CINA,3
11,BINTARO,6
12,BUKIT DURI,5
13,BUNGUR,2
14,CAKUNG BARAT,0
15,CAKUNG TIMUR,2
16,CAWANG,5
17,CEGER,0
18,CEMPAKA BARU,1
19,CEMPAKA PUTIH BARAT,5
20,CEMPAKA PUTIH TIMUR,0
21,CENGKARENG BARAT,1
22,CENGKARENG TIMUR,3
23,CIBUBUR,2
24,CIDENG,2
25,CIGANJUR,3
26,CIJANTUNG,3
27,CIKINI,0
28,CIKOKO,0
29,CILANDAK BARAT,11
30,CILANDAK TIMUR,2
31,CILANGKAP,2
32,CILILITAN,1
33,CILINCING,0
34,CIPAYUNG,0
35,CIPEDAK,1
36,CIPETE SELATAN,3
37,CIPETE UTARA,1
38,CIPINANG,2
39,CIPINANG BESAR SELATAN,1
40,CIPINANG BESAR UTARA,3
41,CIPINANG CEMPEDAK,1
42,CIPINANG MELAYU,2
43,CIPINANG MUARA,6
44,CIPULIR,2
45,CIRACAS,4
46,DUKUH,0
47,DUREN SAWIT,13
48,DUREN TIGA,2
49,DURI KEPA,7
50,DURI KOSAMBI,4
51,DURI PULO,0
52,DURI SELATAN,0
53,DURI UTARA,0
54,GALUR,1
55,GAMBIR,0
56,GANDARIA SELATAN,0
57,GANDARIA UTARA,3
58,GEDONG,0
59,GELORA,2
60,GLODOK,1
61,GONDANGDIA,2
62,GROGOL,1
63,GROGOL SELATAN,4
64,GROGOL UTARA,2
65,GUNTUR,1
66,GUNUNG,1
67,GUNUNG SAHARI SELATAN,1
68,GUNUNG SAHARI UTARA,2
69,HALIM PERDANA KUSUMA,8
70,HARAPAN MULIA,6
71,JAGAKARSA,3
72,JATI,7
73,JATI PADANG,2
74,JATI PULO,3
75,JATINEGARA,0
76,JATINEGARA KAUM,0
77,JELAMBAR,5
78,JELAMBAR BARU,3
79,JEMBATAN BESI,1
80,JEMBATAN LIMA,1
81,JOGLO,2
82,JOHAR BARU,4
83,KALI ANYAR,0
84,KALI BARU,1
85,KALIBATA,1
86,KALIDERES,13
87,KALISARI,4
88,KAMAL,1
89,KAMAL MUARA,1
90,KAMPUNG BALI,0
91,KAMPUNG MELAYU,0
92,KAMPUNG RAWA,3
93,KAMPUNG TENGAH,1
94,KAPUK,3
95,KAPUK MUARA,1
96,KARANG ANYAR,0
97,KARET,2
98,KARET KUNINGAN,5
99,KARET SEMANGGI,2
100,KARET TENGSIN,0
101,KARTINI,0
102,KAYU MANIS,4
103,KAYU PUTIH,6
104,KEAGUNGAN,0
105,KEBAGUSAN,2
106,KEBAYORAN LAMA SELATAN,3
107,KEBAYORAN LAMA UTARA,4
108,KEBON BARU,2
109,KEBON BAWANG,1
110,KEBON JERUK,16
111,KEBON KACANG,1
112,KEBON KELAPA,2
113,KEBON KOSONG,4
114,KEBON MANGGIS,1
115,KEBON MELATI,1
116,KEBON PALA,1
117,KEBON SIRIH,0
118,KEDAUNG KALI ANGKE,1
119,KEDOYA SELATAN,6
120,KEDOYA UTARA,4
121,KELAPA DUA,6
122,KELAPA DUA WETAN,0
123,KELAPA GADING BARAT,10
124,KELAPA GADING TIMUR,16
125,KEMANGGISAN,2
126,KEMAYORAN,0
127,KEMBANGAN SELATAN,2
128,KEMBANGAN UTARA,4
129,KENARI,1
130,KERENDANG,1
131,KLENDER,4
132,KOJA,0
133,KOTA BAMBU SELATAN,0
134,KOTA BAMBU UTARA,4
135,KRAMAT,0
136,KRAMAT JATI,2
137,KRAMAT PELA,1
138,KRUKUT,0
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,0
141,KWITANG,0
142,LAGOA,1
143,LEBAK BULUS,6
144,LENTENG AGUNG,2
145,LUBANG BUAYA,3
146,MAKASAR,0
147,MALAKA JAYA,0
148,MALAKA SARI,1
149,MAMPANG PRAPATAN,0
150,MANGGA BESAR,0
151,MANGGA DUA SELATAN,0
152,MANGGARAI,0
153,MANGGARAI SELATAN,0
154,MAPHAR,1
155,MARUNDA,0
156,MELAWAI,1
157,MENTENG,4
158,MENTENG ATAS,1
159,MENTENG DALAM,11
160,MERUYA SELATAN,1
161,MERUYA UTARA,2
162,MUNJUL,1
163,PULAU HARAPAN,0
164,PULAU KELAPA,0
165,PULAU PANGGANG,0
166,PULAU PARI,0
167,PULAU TIDUNG,0
168,PADEMANGAN BARAT,4
169,PADEMANGAN TIMUR,1
170,PAL MERIAM,0
171,PALMERAH,5
172,PANCORAN,2
173,PAPANGGO,0
174,PASAR BARU,2
175,PASAR MANGGIS,3
176,PASAR MINGGU,2
177,PASEBAN,1
178,PEGADUNGAN,22
179,PEGANGSAAN,3
180,PEGANGSAAN DUA,3
181,PEJAGALAN,4
182,PEJATEN BARAT,4
183,PEJATEN TIMUR,15
