id,kelurahan,positif
237,SUKABUMI SELATAN,15
238,SUKABUMI UTARA,18
239,SUKAPURA,9
240,SUMUR BATU,10
241,SUNGAI BAMBU,10
242,SUNTER AGUNG,141
243,SUNTER JAYA,30
244,SUSUKAN,4
245,TAMAN SARI,8
246,TAMBORA,0
247,TANAH SEREAL,12
248,TANAH TINGGI,13
249,TANGKI,9
250,TANJUNG BARAT,20
251,TANJUNG DUREN SELATAN,20
252,TANJUNG DUREN UTARA,11
253,TANJUNG PRIOK,37
254,TEBET BARAT,30
255,TEBET TIMUR,14
256,TEGAL ALUR,15
257,TEGAL PARANG,16
258,TOMANG,38
259,TUGU SELATAN,12
260,TUGU UTARA,29
261,UJUNG MENTENG,7
262,ULUJAMI,16
263,UTAN KAYU SELATAN,37
264,UTAN KAYU UTARA,12
265,UTAN PANJANG,9
266,WARAKAS,16
267,WIJAYA KUSUMA,18
