id,kelurahan,positif
237,SUKABUMI SELATAN,22
238,SUKABUMI UTARA,24
239,SUKAPURA,26
240,SUMUR BATU,15
241,SUNGAI BAMBU,14
242,SUNTER AGUNG,168
243,SUNTER JAYA,89
244,SUSUKAN,13
245,TAMAN SARI,10
246,TAMBORA,3
247,TANAH SEREAL,32
248,TANAH TINGGI,46
249,TANGKI,14
250,TANJUNG BARAT,23
251,TANJUNG DUREN SELATAN,30
252,TANJUNG DUREN UTARA,12
253,TANJUNG PRIOK,48
254,TEBET BARAT,33
255,TEBET TIMUR,17
256,TEGAL ALUR,21
257,TEGAL PARANG,20
258,TOMANG,71
259,TUGU SELATAN,17
260,TUGU UTARA,39
261,UJUNG MENTENG,7
262,ULUJAMI,21
263,UTAN KAYU SELATAN,46
264,UTAN KAYU UTARA,15
265,UTAN PANJANG,13
266,WARAKAS,24
267,WIJAYA KUSUMA,20
